Date,Close,High,Low,Open,Volume
,^TWII,^TWII,^TWII,^TWII,^TWII
2024-08-22,22148.830078125,22315.919921875,22096.259765625,22254.58984375,3019700
2024-08-23,22158.05078125,22159.26953125,21935.98046875,22042.58984375,4275900
2024-08-26,22240.119140625,22449.44921875,22164.529296875,22250.490234375,4880500
2024-08-27,22185.0,22205.109375,22059.509765625,22179.2109375,3660500
2024-08-28,22370.66015625,22370.66015625,22108.859375,22210.5703125,3293800
2024-08-29,22201.849609375,22273.619140625,22010.890625,22136.310546875,3416000
2024-08-30,22268.08984375,22342.25,22230.0703125,22230.0703125,4245800
2024-09-02,22235.099609375,22439.310546875,22178.0390625,22341.900390625,2928000
2024-09-03,22092.2109375,22303.5,22092.2109375,22240.109375,2936800
2024-09-04,21092.75,21574.650390625,20922.169921875,21574.650390625,4571100
2024-09-05,21187.7109375,21488.810546875,21150.990234375,21271.08984375,3353700
2024-09-06,21435.189453125,21461.7109375,21125.140625,21255.44921875,2587200
2024-09-09,21144.439453125,21163.91015625,20922.509765625,21127.810546875,2944600
2024-09-10,21064.080078125,21324.4296875,20977.0,21252.5703125,3118200
2024-09-11,21031.0,21134.05078125,21031.0,21089.1796875,2863800
2024-09-12,21653.25,21706.849609375,21373.640625,21373.640625,3050300
2024-09-13,21759.650390625,21796.390625,21643.220703125,21754.359375,2514700
2024-09-16,21850.080078125,21854.740234375,21736.69921875,21800.0,2823700
2024-09-18,21678.83984375,21859.16015625,21584.630859375,21813.5390625,3989100
2024-09-19,22042.689453125,22042.689453125,21656.66015625,21675.400390625,3393700
2024-09-20,22159.419921875,22354.5390625,22136.529296875,22246.240234375,5085000
2024-09-23,22285.529296875,22307.4609375,22170.939453125,22170.939453125,3582300
2024-09-24,22431.779296875,22431.779296875,22154.55078125,22273.7890625,3517800
2024-09-25,22761.599609375,22785.3203125,22569.2890625,22569.2890625,4014100
2024-09-26,22858.810546875,22961.76953125,22769.240234375,22841.419921875,3923400
2024-09-27,22822.7890625,23079.2109375,22806.830078125,22978.970703125,4104100
2024-09-30,22224.5390625,22691.23046875,22224.5390625,22643.91015625,3569300
2024-10-01,22390.390625,22446.859375,22311.330078125,22329.650390625,2789600
2024-10-04,22302.7109375,22493.05078125,22193.5,22459.099609375,3632200
2024-10-07,22702.560546875,22719.0703125,22479.240234375,22479.240234375,3508600
2024-10-08,22611.390625,22691.3203125,22418.380859375,22691.3203125,3557200
2024-10-09,22659.080078125,22885.94921875,22637.169921875,22637.169921875,3670800
2024-10-11,22901.640625,23011.109375,22726.189453125,22726.189453125,3012500
2024-10-14,22975.2890625,23015.55078125,22799.140625,22947.3203125,2706500
2024-10-15,23292.0390625,23353.91015625,23082.060546875,23083.69921875,3579700
2024-10-16,23010.98046875,23258.51953125,22866.73046875,22990.640625,3698000
2024-10-17,23053.83984375,23191.7890625,22950.69921875,23114.2109375,3263300
2024-10-18,23487.26953125,23713.69921875,23378.359375,23620.5703125,3775600
2024-10-21,23542.529296875,23678.509765625,23480.060546875,23602.98046875,3005000
