date,symbol,open,high,low,close,change,volume
2024-09-08,BTC-USD,54147.93359375,55300.859375,53653.7578125,54841.56640625,1.2964221602682846,18268287531
2024-09-09,BTC-USD,54851.88671875,58041.125,54598.43359375,57019.53515625,3.9713831911113884,34618096173
2024-09-10,BTC-USD,57020.09765625,58029.9765625,56419.4140625,57648.7109375,1.1034389872275785,28857630507
2024-09-11,BTC-USD,57650.2890625,57991.3203125,55567.33984375,57343.171875,-0.5300015516934153,37049062672
2024-09-12,BTC-USD,57343.171875,58534.359375,57330.1015625,58127.01171875,1.3669279499548104,33835707949
2024-09-13,BTC-USD,58130.32421875,60648.0234375,57650.11328125,60571.30078125,4.205082955798245,32490528356
2024-09-14,BTC-USD,60569.1171875,60656.72265625,59517.8828125,60005.12109375,-0.934732588201681,16428405496
2024-09-15,BTC-USD,60000.7265625,60381.91796875,58696.30859375,59182.8359375,-1.3703582981947293,18120960867
2024-09-16,BTC-USD,59185.2265625,59205.51171875,57501.33984375,58192.5078125,-1.6733367188517922,32032822113
2024-09-17,BTC-USD,58192.5078125,61316.08984375,57628.0703125,60308.5390625,3.63626062794542,38075570118
2024-09-18,BTC-USD,60309.0,61664.06640625,59218.25390625,61649.6796875,2.223798894564699,40990702891
2024-09-19,BTC-USD,61651.15625,63872.44140625,61609.8671875,62940.45703125,2.0937291974474137,42710252573
2024-09-20,BTC-USD,62941.42578125,64119.53125,62364.60546875,63192.9765625,0.40120384115518437,35177164222
2024-09-21,BTC-USD,63184.33984375,63543.359375,62783.10546875,63394.83984375,0.3194394254405042,14408616220
2024-09-22,BTC-USD,63396.8046875,63993.421875,62440.7265625,63648.7109375,0.4004601863112578,20183348802
2024-09-23,BTC-USD,63643.1015625,64733.55859375,62628.078125,63329.80078125,-0.5010473135318549,31400285425
2024-09-24,BTC-USD,63326.83984375,64695.21484375,62737.41796875,64301.96875,1.535087678718594,29938335243
2024-09-25,BTC-USD,64302.58984375,64804.50390625,62945.375,63143.14453125,-1.8021597802944433,25078377700
2024-09-26,BTC-USD,63138.546875,65790.796875,62669.26953125,65181.01953125,3.2273891570151925,36873129847
2024-09-27,BTC-USD,65180.6640625,66480.6953125,64852.9921875,65790.6640625,0.935309904070647,32058813449
2024-09-28,BTC-USD,65792.1796875,66255.53125,65458.03515625,65887.6484375,0.14741358273548943,15243637984
2024-09-29,BTC-USD,65888.8984375,66069.34375,65450.015625,65635.3046875,-0.3829909793174213,14788214575
2024-09-30,BTC-USD,65634.65625,65635.0546875,62873.6171875,63329.5,-3.5130555094979754,37112957475
2024-10-01,BTC-USD,63335.60546875,64110.98046875,60189.27734375,60837.0078125,-3.9357521968434894,50220923500
2024-10-02,BTC-USD,60836.32421875,62357.6875,59996.94921875,60632.78515625,-0.335688199655404,40762722398
2024-10-03,BTC-USD,60632.484375,61469.0390625,59878.8046875,60759.40234375,0.20882627636797935,36106447279
2024-10-04,BTC-USD,60754.625,62465.9921875,60459.94140625,62067.4765625,2.1528753876634443,29585472513
2024-10-05,BTC-USD,62067.609375,62371.0234375,61689.58203125,62089.94921875,0.03620681473552878,13305410749
2024-10-06,BTC-USD,62084.98828125,62959.5703125,61833.1484375,62818.953125,1.1741093613744757,14776233667
2024-10-07,BTC-USD,62819.109375,64443.70703125,62152.55078125,62236.66015625,-0.9269383518558882,34253562610
2024-10-08,BTC-USD,62221.64453125,63174.3046875,61843.5625,62131.96875,-0.1682150134457161,28134475157
2024-10-09,BTC-USD,62131.7265625,62508.8359375,60314.61328125,60582.1015625,-2.4944762232405493,27670982363
2024-10-10,BTC-USD,60581.9296875,61236.72265625,58895.20703125,60274.5,-0.5077433013489285,30452813570
2024-10-11,BTC-USD,60275.4609375,63400.87109375,60046.125,62445.08984375,3.6011743668549645,30327141594
2024-10-12,BTC-USD,62444.6171875,63448.78515625,62443.26953125,63193.0234375,1.1977460447594401,16744110886
2024-10-13,BTC-USD,63192.9453125,63272.65234375,62035.63671875,62851.375,-0.5406426515387475,18177529690
2024-10-14,BTC-USD,62848.3984375,66482.4921875,62442.15234375,66046.125,5.0830232433260125,43706958056
2024-10-15,BTC-USD,66050.3671875,67881.6796875,64809.1953125,67041.109375,1.5064992457922477,48863870879
2024-10-16,BTC-USD,67042.4609375,68375.2890625,66758.7265625,67612.71875,0.8526251733136592,38195189534
2024-10-17,BTC-USD,67617.078125,67912.2109375,66647.390625,67399.8359375,-0.31485616380424464,32790898511
2024-10-18,BTC-USD,67419.109375,68969.75,67177.8203125,68418.7890625,1.5118035686984221,36857165014
2024-10-19,BTC-USD,68418.9765625,68668.0078125,68024.640625,68362.734375,-0.08192879217548965,14443497908
2024-10-20,BTC-USD,68364.1796875,69359.0078125,68105.71875,69001.703125,0.9346740674458287,18975847518
2024-10-21,BTC-USD,69002.0,69462.734375,66829.8515625,67367.8515625,-2.3678423698328066,37498611780
2024-10-22,BTC-USD,67360.703125,67801.578125,66581.3671875,67361.40625,-0.009567341618454961,31808472566
2024-10-23,BTC-USD,67362.375,67402.7421875,65188.03515625,66432.1953125,-1.379441121005398,32263980353
2024-10-24,BTC-USD,66653.703125,68798.9609375,66454.1015625,68161.0546875,2.602442034118191,31414428647
2024-10-25,BTC-USD,68165.296875,68722.15625,65521.79296875,66642.4140625,-2.2280180844656217,41469984306
2024-10-26,BTC-USD,66628.734375,67317.921875,66360.59375,67014.6953125,0.558625096700216,19588098156
2024-10-27,BTC-USD,67023.4765625,68221.3125,66847.2265625,67929.296875,1.364777618155344,16721307878
2024-10-28,BTC-USD,67922.671875,70212.265625,67535.1328125,69907.7578125,2.912529686772203,38799856657
2024-10-29,BTC-USD,69910.046875,73577.2109375,69729.9140625,72720.4921875,4.023493905417541,58541874402
2024-10-30,BTC-USD,72715.3671875,72905.296875,71411.734375,72339.5390625,-0.5238593875544262,40646637831
2024-10-31,BTC-USD,72335.046875,72662.3125,69590.5,70215.1875,-2.9366396164960396,40627912076
2024-11-01,BTC-USD,70216.8984375,71559.015625,68779.703125,69482.46875,-1.0435331387529279,49989795365
2024-11-02,BTC-USD,69486.0234375,69867.3515625,69033.71875,69289.2734375,-0.27804900426771084,18184612091
2024-11-03,BTC-USD,69296.3828125,69361.65625,67482.5234375,68741.1171875,-0.791112711687536,34868307655
2024-11-04,BTC-USD,68742.1328125,69433.1796875,66803.6484375,67811.5078125,-1.3523338185854272,41184819348
2024-11-05,BTC-USD,67811.171875,70522.7890625,67458.8671875,69359.5625,2.282879023690776,46046889204
2024-11-06,BTC-USD,69358.5,76460.15625,69322.03125,75639.078125,9.053568676993894,118592653963
2024-11-07,BTC-USD,75637.0859375,76943.1171875,74480.421875,75904.859375,0.3513808689745934,63467654989
2024-11-08,BTC-USD,75902.8359375,77252.75,75648.7421875,76545.4765625,0.8439738809541852,55176858003
2024-11-09,BTC-USD,76556.1875,76932.765625,75773.7890625,76778.8671875,0.30490452928257916,29009480361
2024-11-10,BTC-USD,76775.546875,81474.421875,76565.4296875,80474.1875,4.8129393514959595,82570594495
2024-11-11,BTC-USD,80471.4140625,89604.5,80283.25,88701.484375,10.223522760015435,117966845037
2024-11-12,BTC-USD,88705.5625,89956.8828125,85155.109375,87955.8125,-0.8406532091926988,133673285375
2024-11-13,BTC-USD,87929.96875,93434.3515625,86256.9296875,90584.1640625,2.9882636380625716,123559027869
2024-11-14,BTC-USD,90574.8828125,91765.21875,86682.8125,87250.4296875,-3.6802617869276077,87616705248
2024-11-15,BTC-USD,87284.1796875,91868.7421875,87124.8984375,91066.0078125,4.373133907381366,78243109518
2024-11-16,BTC-USD,91064.3671875,91763.9453125,90094.2265625,90558.4765625,-0.5573223886622736,44333192814
2024-11-17,BTC-USD,90558.4609375,91433.0390625,88741.6640625,89845.8515625,-0.7869224693816235,46350159305
2024-11-18,BTC-USD,89843.71875,92596.7890625,89393.59375,90542.640625,0.7755383808848215,75535775084
2024-11-19,BTC-USD,90536.8125,94002.8671875,90426.984375,92343.7890625,1.9892819836786257,74521048295
2024-11-20,BTC-USD,92341.890625,94902.0234375,91619.5,94339.4921875,2.161166598491282,71730956426
2024-11-21,BTC-USD,94334.640625,99014.21875,94132.6015625,98504.7265625,4.415154542830901,106024505582
2024-11-22,BTC-USD,98496.4296875,99655.5,97222.6640625,98997.6640625,0.5004201495724558,78473580551
2024-11-23,BTC-USD,99006.7421875,99014.6796875,97232.890625,97777.28125,-1.232738998497518,44414644677
2024-11-24,BTC-USD,97778.09375,98647.1796875,95788.078125,98013.8203125,0.2419161787646784,51712020623
2024-11-25,BTC-USD,98033.4453125,98935.03125,92642.9140625,93102.296875,-5.01105193312582,80909462490
2024-11-26,BTC-USD,93087.28125,94991.75,90770.8125,91985.3203125,-1.1997304040733403,91656519855
